departure_time_current,departure_time_original,flight_status,delay_minutes,delay_status,destination,flight_number,company,check_in_desk,terminal,boarding_gate,getting_there,date_saved
2025-03-19T07:35:00Z,2025-03-19T07:35:00Z,NA,0,On Time,BERLIN BRANDENBURG (BER),"IBS1801, VLG5334, JAL6979, IBE1801, AAL8615","Iberia Express, Vueling, -, Iberia, American Airlines",850 - 859,T4,K,-,2025-03-19T01:14:00Z
2025-03-19T07:35:00Z,2025-03-19T07:35:00Z,NA,0,On Time,LONDRES /GATWICK (LGW),"AEA1013, ARG7340, AMX6890","Air Europa, Aerolíneas Argentinas, Aeromexico",218 - 221,T1,B,-,2025-03-19T01:14:00Z
2025-03-19T07:40:00Z,2025-03-19T07:40:00Z,NA,0,On Time,BADAJOZ (BJZ),"IBE2330, AAL8550","Iberia, American Airlines",850 - 859,T4,NA,-,2025-03-19T01:14:00Z
2025-03-19T07:40:00Z,2025-03-19T07:40:00Z,NA,0,On Time,LISBOA (LIS),"TAP1023, RZO8709, UAL6892, ACA2666, AZU7358","TAP Air Portugal, sata-internacional, United Airlines, Air Canada, -",405 - 407,T2,D,-,2025-03-19T01:14:00Z
2025-03-19T07:40:00Z,2025-03-19T07:40:00Z,NA,0,On Time,MELILLA (MLN),"IBE2292, AAL8721, QTR8045, VLG5692","Iberia, American Airlines, Qatar Airways, Vueling",850 - 859,T4,K,-,2025-03-19T01:14:00Z
2025-03-19T07:40:00Z,2025-03-19T07:40:00Z,NA,0,On Time,NAPOLES (NAP),RYR1329,Ryanair,356 - 358,T1,C,-,2025-03-19T01:14:00Z
2025-03-19T07:45:00Z,2025-03-19T07:45:00Z,NA,0,On Time,ADRAR/TOUAT (AZR),ANE5755,Air Nostrum,796 - 796,T4,NA,-,2025-03-19T01:14:00Z
2025-03-19T07:45:00Z,2025-03-19T07:45:00Z,NA,0,On Time,BARCELONA-EL PRAT JOSEP TARRADELLAS (BCN),"AAL8552, VLG5023, LAN1520, CPA1837, IBE0405S, IBE0405","American Airlines, Vueling, LATAM Airlines, Cathay Pacific, Iberia",850 - 859,T4,J,-,2025-03-19T01:14:00Z
2025-03-19T07:45:00Z,2025-03-19T07:35:00Z,NA,10,On Time,LONDRES / HEATHROW (LHR),"IBE0713, AAL8742, BAW7060, VLG5228, LAN7076, JAL9419","Iberia, American Airlines, British Airways, Vueling, LATAM Airlines, -",900 - 906,T4S,S,-,2025-03-19T01:14:00Z
2025-03-19T07:45:00Z,2025-03-19T07:45:00Z,NA,0,On Time,MALTA (MLA),RYR5382,Ryanair,356 - 358,T1,C43,T1 C43,2025-03-19T01:14:00Z
2025-03-19T07:45:00Z,2025-03-19T07:45:00Z,NA,0,On Time,ZURICH (ZRH),"AEA1675, AMX6946","Air Europa, Aeromexico",516 - 532,T2,D,-,2025-03-19T01:14:00Z
2025-03-19T07:50:00Z,2025-03-19T07:50:00Z,NA,0,On Time,GRAN CANARIA (LPA),RYR568,Ryanair,356 - 358,T1,C,-,2025-03-19T01:14:00Z
2025-03-19T07:50:00Z,2025-03-19T07:50:00Z,NA,0,On Time,PALMA DE MALLORCA (PMI),RYR2051,Ryanair,356 - 358,T1,C,-,2025-03-19T01:14:00Z
2025-03-19T07:55:00Z,2025-03-19T07:55:00Z,NA,0,On Time,PAMPLONA (PNA),"IBE1049, AVA6062, JAL9439, AAL8823, QTR8059","Iberia, Avianca, -, American Airlines, Qatar Airways",850 - 859,T4,NA,-,2025-03-19T01:14:00Z
2025-03-19T08:00:00Z,2025-03-19T08:00:00Z,NA,0,On Time,PARIS /ORLY (ORY),"AEA1027, AZU7858, AMX6950","Air Europa, -, Aeromexico",516 - 532,T2,E,-,2025-03-19T01:14:00Z
2025-03-19T08:00:00Z,2025-03-19T08:00:00Z,NA,0,On Time,VALENCIA (VLC),"IBE1079, VLG5580, AVA6068, DTA6872, QTR6923, AAL8715","Iberia, Vueling, Avianca, TAAG, Qatar Airways, American Airlines",850 - 859,T4,K,-,2025-03-19T01:14:00Z
2025-03-19T08:15:00Z,2025-03-19T08:15:00Z,NA,0,On Time,GRANADA-JAÉN F.G.L. (GRX),"IBE1019, AAL8820, VLG5601, QTR6545, JAL9435","Iberia, American Airlines, Vueling, Qatar Airways, -",850 - 859,T4,NA,-,2025-03-19T01:14:00Z
2025-03-19T08:20:00Z,2025-03-19T08:20:00Z,NA,0,On Time,PALMA DE MALLORCA (PMI),"AEA6031, AMX6907, KQA7208","Air Europa, Aeromexico, -",516 - 532,T2,E,-,2025-03-19T01:14:00Z
2025-03-19T08:25:00Z,2025-03-19T08:25:00Z,NA,0,On Time,DOHA / HAMAD INTERNATIONAL (DOH),"IBE0391, QTR6949","Iberia, Qatar Airways",810 - 829,T4S,S,-,2025-03-19T01:14:00Z
2025-03-19T08:25:00Z,2025-03-19T08:25:00Z,NA,0,On Time,FRANKFURT (FRA),"DLH1123, UAL9228, AUA7468","Lufthansa, United Airlines, Austrian Airlines",415 - 419,T2,D,-,2025-03-19T01:14:00Z
2025-03-19T08:30:00Z,2025-03-19T08:30:00Z,NA,0,On Time,BARCELONA-EL PRAT JOSEP TARRADELLAS (BCN),"AVA6082, IBE0407S, VLG5024, QTR5090, AAL8775, LAN1521, IBE0407","Avianca, Iberia, Vueling, Qatar Airways, American Airlines, LATAM Airlines",850 - 859,T4,J,-,2025-03-19T01:14:00Z
2025-03-19T08:30:00Z,2025-03-19T08:30:00Z,NA,0,On Time,BOGOTA /EL DORADO (BOG),"AVA027, CCA5301, ETD2614, THY8475","Avianca, Air China, Etihad Airways, Turkish Airlines",960 - 969,T4S,S,-,2025-03-19T01:14:00Z
2025-03-19T08:35:00Z,2025-03-19T08:35:00Z,NA,0,On Time,TEL AVIV (TLV),"AEA1301, AMX6847","Air Europa, Aeromexico",217 - 217,T1,B,-,2025-03-19T01:14:00Z
2025-03-19T08:40:00Z,2025-03-19T08:40:00Z,NA,0,On Time,AMSTERDAM /SCHIPHOL (AMS),"IBE1791, AAL8612, VLG5821","Iberia, American Airlines, Vueling",850 - 859,T4,NA,-,2025-03-19T01:14:00Z
2025-03-19T08:40:00Z,2025-03-19T08:40:00Z,NA,0,On Time,AMSTERDAM /SCHIPHOL (AMS),IBS1791,Iberia Express,850 - 859,T4,J,-,2025-03-19T01:14:00Z
2025-03-19T08:40:00Z,2025-03-19T08:50:00Z,NA,-10,Early,DUBLIN (DUB),"IBS1881, EIN5792, AAL8803, IBE1881, VLG5190","Iberia Express, Aer Lingus, American Airlines, Iberia, Vueling",850 - 859,T4S,S,-,2025-03-19T01:14:00Z
2025-03-19T08:40:00Z,2025-03-19T08:40:00Z,NA,0,On Time,FRANKFURT (FRA),"IBE1327, AAL8640, FIN5626, VLG5516, JAL9427","Iberia, American Airlines, Finnair, Vueling, -",850 - 859,T4,K,-,2025-03-19T01:14:00Z
2025-03-19T08:40:00Z,2025-03-19T08:40:00Z,NA,0,On Time,VIENA (VIE),"IBE0791, VLG5074, AAL8711","Iberia, Vueling, American Airlines",850 - 859,T4,K,-,2025-03-19T01:14:00Z
2025-03-19T08:45:00Z,2025-03-19T08:45:00Z,NA,0,On Time,BUENOS AIRES/MINISTRO PISTARINI (EZE),"IBE0105, QTR5347, FIN5373","Iberia, Qatar Airways, Finnair",810 - 829,T4S,S,-,2025-03-19T01:14:00Z
2025-03-19T08:45:00Z,2025-03-19T08:45:00Z,NA,0,On Time,DUSSELDORF (DUS),"IBE0751, AAL8745, VLG5222","Iberia, American Airlines, Vueling",850 - 859,T4,H,-,2025-03-19T01:14:00Z
2025-03-19T08:45:00Z,2025-03-19T08:45:00Z,NA,0,On Time,GINEBRA (GVA),EZS1384,easyJet Switzerland,327 - 329,T1,C,-,2025-03-19T01:14:00Z
2025-03-19T08:45:00Z,2025-03-19T08:45:00Z,NA,0,On Time,LANZAROTE CÉSAR MANRIQUE (ACE),"IBS1501, IBE1501, VLG5427, QTR6566, AAL8804","Iberia Express, Iberia, Vueling, Qatar Airways, American Airlines",850 - 859,T4,J,-,2025-03-19T01:14:00Z
2025-03-19T08:45:00Z,2025-03-19T08:45:00Z,NA,0,On Time,MILAN /LINATE (LIN),"IBE0663, QTR6940, AAL8656, VLG5114","Iberia, Qatar Airways, American Airlines, Vueling",850 - 859,T4,NA,-,2025-03-19T01:14:00Z
2025-03-19T08:45:00Z,2025-03-19T08:45:00Z,NA,0,On Time,ROMA /FIUMICINO (FCO),"IBE0647, AAL8635, LAN5411, QTR6854, VLG5098, DTA6230","Iberia, American Airlines, LATAM Airlines, Qatar Airways, Vueling, TAAG",850 - 859,T4,K,-,2025-03-19T01:14:00Z
2025-03-19T08:45:00Z,2025-03-19T08:45:00Z,NA,0,On Time,TENERIFE NORTE-C. LA LAGUNA (TFN),"IBS1565, QTR5371, AAL8512, IBE1565, VLG5195","Iberia Express, Qatar Airways, American Airlines, Iberia, Vueling",850 - 859,T4S,M,-,2025-03-19T01:14:00Z
2025-03-19T08:45:00Z,2025-03-19T08:45:00Z,NA,0,On Time,ZURICH (ZRH),"IBE0627, DTA6464, VLG5142, AAL8718","Iberia, TAAG, Vueling, American Airlines",850 - 859,T4,J,-,2025-03-19T01:14:00Z
2025-03-19T08:50:00Z,2025-03-19T08:50:00Z,NA,0,On Time,MANCHESTER (MAN),"IBS1891, BAW7097, IBE1891, VLG5336","Iberia Express, British Airways, Iberia, Vueling",900 - 906,T4,S,-,2025-03-19T01:14:00Z
2025-03-19T08:50:00Z,2025-03-19T08:50:00Z,NA,0,On Time,MUNICH (MUC),"IBE0741, VLG5086, AAL8628","Iberia, Vueling, American Airlines",850 - 859,T4,J,-,2025-03-19T01:14:00Z
2025-03-19T08:55:00Z,2025-03-19T08:55:00Z,NA,0,On Time,LONDRES /GATWICK (LGW),"IBS1861, IBE1861","Iberia Express, Iberia",900 - 906,T4,S,-,2025-03-19T01:14:00Z
2025-03-19T08:55:00Z,2025-03-19T08:55:00Z,NA,0,On Time,VENECIA /MARCO POLO (VCE),"IBE0677, QTR6573, VLG5108","Iberia, Qatar Airways, Vueling",850 - 859,T4,J,-,2025-03-19T01:14:00Z
2025-03-19T09:00:00Z,2025-03-19T09:00:00Z,NA,0,On Time,BOLONIA (BLQ),"IBE1237, AAL8619, VLG5550, LAN1714, QTR6548","Iberia, American Airlines, Vueling, LATAM Airlines, Qatar Airways",850 - 859,T4,NA,-,2025-03-19T01:14:00Z
2025-03-19T09:00:00Z,2025-03-19T09:00:00Z,NA,0,On Time,NUEVA YORK-J.F.KENNEDY (JFK),DAL127,Delta,126 - 135,T1,A,-,2025-03-19T01:14:00Z
2025-03-19T09:05:00Z,2025-03-19T09:05:00Z,NA,0,On Time,BRUSELAS (BRU),"IBE0597, VLG5094, LAN7087, DTA6206, FIN5628","Iberia, Vueling, LATAM Airlines, TAAG, Finnair",850 - 859,T4,J,-,2025-03-19T01:14:00Z
2025-03-19T09:05:00Z,2025-03-19T09:05:00Z,NA,0,On Time,LONDRES / HEATHROW (LHR),"IBE0715, VLG5185, LAN5434, JAL9421, BAW7066, AAL8655","Iberia, Vueling, LATAM Airlines, -, British Airways, American Airlines",900 - 906,T4S,S,-,2025-03-19T01:14:00Z
2025-03-19T09:15:00Z,2025-03-19T09:15:00Z,NA,0,On Time,TURIN (TRN),"IBE1247, VLG5556, QTR6972, AAL8705","Iberia, Vueling, Qatar Airways, American Airlines",850 - 859,T4,NA,-,2025-03-19T01:14:00Z
2025-03-19T09:35:00Z,2025-03-19T09:35:00Z,NA,0,On Time,BARCELONA-EL PRAT JOSEP TARRADELLAS (BCN),"VLG1003, IBE5239S, IBE5239, QTR3780","Vueling, Iberia, Qatar Airways",760 - 762,T4,J,-,2025-03-19T01:14:00Z
2025-03-19T09:40:00Z,2025-03-19T09:40:00Z,NA,0,On Time,ROMA /FIUMICINO (FCO),WMT6012,Wizz Air Malta (WMT),559 - 560,T2,D,-,2025-03-19T01:14:00Z
2025-03-19T09:45:00Z,2025-03-19T09:50:00Z,NA,-5,On Time,PARIS /CHARLES DE GAULLE (CDG),"IBE0585, VLG5184","Iberia, Vueling",850 - 859,T4,J,-,2025-03-19T01:14:00Z
2025-03-19T09:45:00Z,2025-03-19T09:45:00Z,NA,0,On Time,PRAGA (PRG),RYR2766,Ryanair,356 - 359,T1,C,-,2025-03-19T01:14:00Z
2025-03-19T09:50:00Z,2025-03-19T09:50:00Z,NA,0,On Time,ABU DHABI (AUH),"ETD102, AVA2414","Etihad Airways, Avianca",720 - 728,T4S,NA,-,2025-03-19T01:14:00Z
